1,ABEJONES,8,55
2,ACATLAN DE PEREZ FIGUEROA,26,15
3,ASUNCION CACALOTEPEC,14,57
4,ASUNCION CUYOTEPEJI,7,41
5,ASUNCION IXTALTEPEC,10,21
6,ASUNCION NOCHIXTLAN,15,45
7,ASUNCION OCOTLAN,16,7
8,ASUNCION TLACOLULITA,28,105
9,AYOTZINTEPEC,26,91
10,EL BARRIO DE LA SOLEDAD,10,128
11,CALIHUALA,19,47
12,CANDELARIA LOXICHA,17,130
13,CIENEGA DE ZIMATLAN,30,12
14,CIUDAD IXTEPEC,10,22
15,COATECAS ALTAS,5,5
16,COICOYAN DE LAS FLORES,12,50
17,LA COMPAÑIA,5,5
18,CONCEPCION BUENAVISTA,2,52
19,CONCEPCION PAPALO,3,37
20,CONSTANCIA DEL ROSARIO,18,66
21,COSOLAPA,26,18
22,COSOLTEPEC,7,42
23,CUILAPAM DE GUERRERO,1,3
24,CUYAMECALCO VILLA DE ZARAGOZA,3,37
25,CHAHUITES,10,24
26,CHALCATONGO DE HIDALGO,25,51
27,CHIQUIHUITLAN DE BENITO JUAREZ,3,121
28,HEROICA CIUDAD DE EJUTLA DE CRESPO,5,5
29,ELOXOCHITLAN DE FLORES MAGON,22,39
30,EL ESPINAL,10,100
31,TAMAZULAPAM DEL ESPIRITU SANTO,14,57
32,FRESNILLO DE TRUJANO,7,43
33,GUADALUPE ETLA,6,6
34,GUADALUPE DE RAMIREZ,19,43
35,GUELATAO DE JUAREZ,8,55
36,GUEVEA DE HUMBOLDT,21,22
37,MESONES HIDALGO,18,66
38,VILLA HIDALGO,27,61
39,HEROICA CIUDAD DE HUAJUAPAN DE LEON,7,41
40,HUAUTEPEC,22,39
41,HUAUTLA DE JIMENEZ,22,39
42,IXTLAN DE JUAREZ,8,55
43,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,10,21
44,LOMA BONITA,26,17
45,MAGDALENA APASCO,6,6
46,MAGDALENA JALTEPEC,15,45
47,SANTA MAGDALENA JICOTLAN,2,132
48,MAGDALENA MIXTEPEC,30,12
49,MAGDALENA OCOTLAN,16,7
50,MAGDALENA PEÑASCO,25,49
51,MAGDALENA TEITIPAC,24,8
52,MAGDALENA TEQUISISTLAN,21,105
53,MAGDALENA TLACOTEPEC,21,22
54,MAGDALENA ZAHUATLAN,15,45
55,MARISCALA DE JUAREZ,7,43
56,MARTIRES DE TACUBAYA,9,127
57,MATIAS ROMERO AVENDAÑO,10,26
58,MAZATLAN VILLA DE FLORES,22,38
59,MIAHUATLAN DE PORFIRIO DIAZ,13,62
60,MIXISTLAN DE LA REFORMA,14,57
61,MONJAS,13,62
62,NATIVIDAD,8,55
63,NAZARENO ETLA,6,6
64,NEJAPA DE MADERO,28,69
